time; n; mu_cfp; std_cfp; rawData_cfp 
44.88; 43; 55.814; 49.6608; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,0,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
45.9; 42; 57.1429; 49.4872; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
46.92; 42; 57.1429; 49.4872; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
47.94; 42; 57.1429; 49.4872; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
48.96; 40; 55; 49.7494; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
49.98; 40; 55; 49.7494; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,100,100,0,0,0,100,100,0,0,100,100,100,100,100,0,0,100,0,100,100,0,100,0,0}
51; 42; 59.5238; 49.0846; {100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0}
52.02; 42; 59.5238; 49.0846; {100,100,100,100,100,100,0,0,0,0,100,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100}
53.04; 44; 59.0909; 49.1666; {100,100,100,100,100,100,0,0,0,0,100,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,100}
54.06; 49; 61.2245; 48.7238; {100,100,100,100,100,100,0,0,0,0,100,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,100,0,100,100,100,100}
55.08; 55; 60; 48.9898; {100,100,100,100,100,0,0,0,0,100,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0}
56.1; 57; 61.4035; 48.6822; {100,100,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100}
57.12; 59; 61.0169; 48.7712; {100,100,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,0,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0}
58.14; 60; 61.6667; 48.6198; {100,100,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0}
