time; n; mu_cfp; std_cfp; rawData_cfp 
17.34; 57; 98.2456; 13.1286; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100}
18.36; 83; 98.7952; 10.9101; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
19.38; 102; 98.0392; 13.8648; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
20.4; 94; 97.8723; 14.4305; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
21.42; 89; 97.7528; 14.8212; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
22.44; 85; 97.6471; 15.1578; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
23.46; 82; 97.561; 15.4258; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100}
24.48; 78; 97.4359; 15.8062; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100}
25.5; 76; 97.3684; 16.0073; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100}
26.52; 76; 97.3684; 16.0073; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100}
27.54; 72; 97.2222; 16.4336; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100}
28.56; 64; 96.875; 17.3993; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100}
29.58; 55; 96.3636; 18.7193; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100}
30.6; 47; 95.7447; 20.1847; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100}
31.62; 45; 95.5556; 20.608; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100}
32.64; 44; 95.4545; 20.8299; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100}
33.66; 44; 95.4545; 20.8299; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100}
34.68; 50; 96; 19.5959; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
35.7; 52; 96.1538; 19.2308; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
36.72; 57; 92.9825; 25.5442; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100}
37.74; 55; 92.7273; 25.9688; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100}
38.76; 56; 92.8571; 25.7539; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100}
39.78; 57; 92.9825; 25.5442; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100}
40.8; 54; 92.5926; 26.1891; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100}
41.82; 50; 92; 27.1293; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100}
42.84; 49; 91.8367; 27.3804; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100}
43.86; 48; 91.6667; 27.6385; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100}
44.88; 42; 90.4762; 29.3544; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100}
45.9; 41; 90.2439; 29.672; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100}
46.92; 41; 90.2439; 29.672; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100}
47.94; 40; 90; 30; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100}
48.96; 40; 90; 30; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100}
49.98; 37; 89.1892; 31.0517; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100}
51; 35; 88.5714; 31.8158; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,0,100,100,100}
52.02; 38; 86.8421; 33.8032; {100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0}
53.04; 44; 86.3636; 34.3174; {100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100}
54.06; 48; 87.5; 33.0719; {100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,100,100}
55.08; 47; 87.234; 33.371; {100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100,100}
56.1; 47; 87.234; 33.371; {100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,100}
57.12; 49; 83.6735; 36.9607; {100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,0}
58.14; 51; 84.3137; 36.3671; {100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100}
59.16; 49; 83.6735; 36.9607; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,0,100}
60.18; 47; 82.9787; 37.582; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,0,100,0,100}
61.2; 47; 82.9787; 37.582; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,0,100,0,100,100}
62.22; 46; 82.6087; 37.9035; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,0,100,0,100,100}
63.24; 45; 82.2222; 38.2326; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100}
64.26; 44; 81.8182; 38.5695; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100}
65.28; 43; 81.3953; 38.9144; {100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100}
66.3; 42; 80.9524; 39.2677; {100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,0,100,0,100,100}
67.32; 42; 80.9524; 39.2677; {100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,0,100,0,100,100}
68.34; 41; 80.4878; 39.6295; {100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,100,0,100,0,100,100,100,100}
