time; n; mu_gfp; std_gfp; rawData_gfp 
44.88; 43; 44.186; 49.6608; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,100,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
45.9; 42; 42.8571; 49.4872; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
46.92; 42; 42.8571; 49.4872; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
47.94; 42; 42.8571; 49.4872; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
48.96; 40; 45; 49.7494; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
49.98; 40; 45; 49.7494; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,0,100,100,0,100,0,0,100,0,100,100}
51; 42; 40.4762; 49.0846; {0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100}
52.02; 42; 40.4762; 49.0846; {0,0,0,0,0,0,100,100,100,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0}
53.04; 44; 40.9091; 49.1666; {0,0,0,0,0,0,100,100,100,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,0}
54.06; 49; 38.7755; 48.7238; {0,0,0,0,0,0,100,100,100,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,0,100,0,0,0,0}
55.08; 55; 40; 48.9898; {0,0,0,0,0,100,100,100,100,0,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,0,100,0,0,0,0,100,0,100,0,0,0,100}
56.1; 57; 38.5965; 48.6822; {0,0,0,0,0,100,100,100,100,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0}
57.12; 59; 38.9831; 48.7712; {0,0,0,0,0,100,100,100,100,0,100,0,0,100,100,0,0,100,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100}
58.14; 60; 38.3333; 48.6198; {0,0,0,0,0,100,100,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,100}
59.16; 61; 39.3443; 48.8514; {0,0,0,0,0,100,100,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,100,0,100,0,100}
