time; n; mu_cfp; std_cfp; rawData_cfp 
20.4; 44; 95.4545; 20.8299; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100}
21.42; 39; 94.8718; 22.0572; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100}
22.44; 35; 94.2857; 23.2115; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100}
23.46; 31; 93.5484; 24.567; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
24.48; 29; 93.1034; 25.3396; {100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100}
25.5; 27; 92.5926; 26.1891; {100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100}
26.52; 24; 91.6667; 27.6385; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100}
27.54; 21; 90.4762; 29.3544; {100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100}
28.56; 19; 89.4737; 30.6892; {100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100}
29.58; 19; 89.4737; 30.6892; {100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100}
30.6; 17; 88.2353; 32.219; {100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100}
31.62; 15; 86.6667; 33.9935; {100,100,100,100,100,100,0,100,100,100,100,100,0,100,100}
32.64; 12; 83.3333; 37.2678; {100,100,100,100,0,100,100,100,100,100,0,100}
33.66; 11; 81.8182; 38.5695; {100,100,100,0,100,100,100,100,100,0,100}
34.68; 11; 72.7273; 44.5362; {100,100,0,100,100,100,100,100,0,100,0}
35.7; 12; 75; 43.3013; {100,100,0,100,100,100,100,100,0,100,0,100}
36.72; 12; 75; 43.3013; {100,100,0,100,100,100,100,0,100,0,100,100}
37.74; 10; 70; 45.8258; {100,100,0,100,100,0,100,0,100,100}
38.76; 12; 66.6667; 47.1405; {100,100,0,100,100,0,100,0,100,100,0,100}
39.78; 13; 69.2308; 46.1538; {100,100,0,100,100,0,100,0,100,0,100,100,100}
40.8; 13; 69.2308; 46.1538; {100,100,0,100,100,0,100,0,100,0,100,100,100}
41.82; 11; 63.6364; 48.1046; {100,100,0,100,100,0,100,0,0,100,100}
42.84; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
43.86; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
44.88; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
45.9; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
46.92; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
47.94; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
48.96; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
49.98; 10; 60; 48.9898; {100,100,0,100,0,100,0,0,100,100}
51; 7; 42.8571; 49.4872; {100,100,0,0,0,0,100}
52.02; 6; 33.3333; 47.1405; {100,0,0,0,0,100}
53.04; 8; 25; 43.3013; {100,0,0,0,0,100,0,0}
54.06; 8; 25; 43.3013; {100,0,0,0,0,100,0,0}
55.08; 8; 25; 43.3013; {100,0,0,0,0,100,0,0}
56.1; 9; 22.2222; 41.574; {100,0,0,0,0,100,0,0,0}
57.12; 11; 36.3636; 48.1046; {100,0,0,0,0,100,0,0,0,100,100}
58.14; 11; 36.3636; 48.1046; {100,0,0,0,0,100,0,0,0,100,100}
59.16; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
60.18; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
61.2; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
62.22; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
63.24; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
64.26; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
65.28; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
66.3; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
67.32; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
68.34; 13; 30.7692; 46.1538; {100,0,0,0,0,100,0,0,0,100,100,0,0}
69.36; 12; 33.3333; 47.1405; {100,0,0,0,0,100,0,0,0,100,100,0}
70.38; 13; 30.7692; 46.1538; {100,0,0,0,0,100,0,0,0,100,100,0,0}
71.4; 13; 30.7692; 46.1538; {100,0,0,0,0,100,0,0,0,100,100,0,0}
72.42; 15; 26.6667; 44.2217; {100,0,0,0,0,100,0,0,0,100,100,0,0,0,0}
73.44; 15; 20; 40; {100,0,0,0,0,100,0,0,0,100,0,0,0,0,0}
74.46; 17; 29.4118; 45.5645; {100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,100}
