time; n; mu_gfp; std_gfp; rawData_gfp 
20.4; 44; 4.54545; 20.8299; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0}
21.42; 39; 5.12821; 22.0572; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0}
22.44; 35; 5.71429; 23.2115; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0}
23.46; 31; 6.45161; 24.567; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
24.48; 29; 6.89655; 25.3396; {0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0}
25.5; 27; 7.40741; 26.1891; {0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0}
26.52; 24; 8.33333; 27.6385; {0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0}
27.54; 21; 9.52381; 29.3544; {0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0}
28.56; 19; 10.5263; 30.6892; {0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0}
29.58; 19; 10.5263; 30.6892; {0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0}
30.6; 17; 11.7647; 32.219; {0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0}
31.62; 15; 13.3333; 33.9935; {0,0,0,0,0,0,100,0,0,0,0,0,100,0,0}
32.64; 12; 16.6667; 37.2678; {0,0,0,0,100,0,0,0,0,0,100,0}
33.66; 11; 18.1818; 38.5695; {0,0,0,100,0,0,0,0,0,100,0}
34.68; 11; 27.2727; 44.5362; {0,0,100,0,0,0,0,0,100,0,100}
35.7; 12; 25; 43.3013; {0,0,100,0,0,0,0,0,100,0,100,0}
36.72; 12; 25; 43.3013; {0,0,100,0,0,0,0,100,0,100,0,0}
37.74; 10; 30; 45.8258; {0,0,100,0,0,100,0,100,0,0}
38.76; 12; 33.3333; 47.1405; {0,0,100,0,0,100,0,100,0,0,100,0}
39.78; 13; 30.7692; 46.1538; {0,0,100,0,0,100,0,100,0,100,0,0,0}
40.8; 13; 30.7692; 46.1538; {0,0,100,0,0,100,0,100,0,100,0,0,0}
41.82; 11; 36.3636; 48.1046; {0,0,100,0,0,100,0,100,100,0,0}
42.84; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
43.86; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
44.88; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
45.9; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
46.92; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
47.94; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
48.96; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
49.98; 10; 40; 48.9898; {0,0,100,0,100,0,100,100,0,0}
51; 7; 57.1429; 49.4872; {0,0,100,100,100,100,0}
52.02; 6; 66.6667; 47.1405; {0,100,100,100,100,0}
53.04; 8; 75; 43.3013; {0,100,100,100,100,0,100,100}
54.06; 8; 75; 43.3013; {0,100,100,100,100,0,100,100}
55.08; 8; 75; 43.3013; {0,100,100,100,100,0,100,100}
56.1; 9; 77.7778; 41.574; {0,100,100,100,100,0,100,100,100}
